,x1,x2,y1,y2,bus_no
0,103.98763,103.98734,1.3897,1.38894,2
1,103.98734,103.98573,1.38894,1.3875,2
2,103.98573,103.98202,1.3875,1.38769,2
3,103.98202,103.97959,1.38769,1.38664,2
4,103.97959,103.97845,1.38664,1.38371,2
5,103.97845,103.9787,1.38371,1.37859,2
6,103.9787,103.97679,1.37859,1.37567,2
7,103.97679,103.97644,1.37567,1.37318,2
8,103.97644,103.98008,1.37318,1.37082,2
9,103.98008,103.97758,1.37082,1.36811,2
10,103.97758,103.97529,1.36811,1.36516,2
11,103.97529,103.97332,1.36516,1.36229,2
12,103.97332,103.97097,1.36229,1.36075,2
13,103.97097,103.96974,1.36075,1.35818,2
14,103.96974,103.96894,1.35818,1.35535,2
15,103.96894,103.96544,1.35535,1.35292,2
16,103.96544,103.96311,1.35292,1.34665,2
17,103.96311,103.96218,1.34665,1.34352,2
18,103.96218,103.96143,1.34352,1.34087,2
19,103.96143,103.9605,1.34087,1.33849,2
20,103.9605,103.95786,1.33849,1.33667,2
21,103.95786,103.95595,1.33667,1.33647,2
22,103.95595,103.95354,1.33647,1.33542,2
23,103.95354,103.95015,1.33542,1.33395,2
24,103.95015,103.9488,1.33395,1.33338,2
25,103.9488,103.94741,1.33338,1.33172,2
26,103.94741,103.94907,1.33172,1.3295,2
27,103.94907,103.94646,1.3295,1.32684,2
28,103.94646,103.94219,1.32684,1.32549,2
29,103.94219,103.93953,1.32549,1.32494,2
30,103.93953,103.93471,1.32494,1.32433,2
31,103.93471,103.92886,1.32433,1.32354,2
32,103.92886,103.92518,1.32354,1.32293,2
33,103.92518,103.92262,1.32293,1.32222,2
34,103.92262,103.9181,1.32222,1.32076,2
35,103.9181,103.91505,1.32076,1.31977,2
36,103.91505,103.91223,1.31977,1.31889,2
37,103.91223,103.91002,1.31889,1.31849,2
38,103.91002,103.90635,1.31849,1.31774,2
39,103.90635,103.90295,1.31774,1.3171,2
40,103.90295,103.89892,1.3171,1.31634,2
41,103.89892,103.8956,1.31634,1.3157,2
42,103.8956,103.89332,1.3157,1.31519,2
43,103.89332,103.89084,1.31519,1.31471,2
44,103.89084,103.8872,1.31471,1.31405,2
45,103.8872,103.88498,1.31405,1.3136,2
46,103.88498,103.88081,1.3136,1.31274,2
47,103.88081,103.87715,1.31274,1.31215,2
48,103.87715,103.87364,1.31215,1.31078,2
49,103.87364,103.87144,1.31078,1.30992,2
50,103.87144,103.86756,1.30992,1.30934,2
51,103.86756,103.86326,1.30934,1.30757,2
52,103.86326,103.86072,1.30757,1.30527,2
53,103.86072,103.85865,1.30527,1.3035,2
54,103.85865,103.85611,1.3035,1.30076,2
55,103.85611,103.85513,1.30076,1.2996,2
56,103.85513,103.85302,1.2996,1.29699,2
57,103.85302,103.85108,1.29699,1.29489,2
58,103.85108,103.84984,1.29489,1.29276,2
59,103.84984,103.84875,1.29276,1.29045,2
60,103.84875,103.84749,1.29045,1.28883,2
61,103.84749,103.84575,1.28883,1.28676,2
62,103.84575,103.84455,1.28676,1.28531,2
63,103.84455,103.84254,1.28531,1.28294,2
64,103.84254,103.84105,1.28294,1.28118,2
65,103.84105,103.8375,1.28118,1.27774,2
66,103.8375,103.83519,1.27774,1.27606,2
67,103.83519,103.83401,1.27606,1.27585,2
68,103.83401,103.83484,1.27585,1.27623,2
69,103.83484,103.83763,1.27623,1.27832,2
70,103.83763,103.843,1.27832,1.28407,2
71,103.843,103.8454,1.28407,1.28693,2
72,103.8454,103.84709,1.28693,1.28899,2
73,103.84709,103.84966,1.28899,1.2931,2
74,103.84966,103.85254,1.2931,1.29685,2
75,103.85254,103.85611,1.29685,1.30117,2
76,103.85611,103.85868,1.30117,1.30394,2
77,103.85868,103.86054,1.30394,1.30552,2
78,103.86054,103.8622,1.30552,1.30709,2
79,103.8622,103.86738,1.30709,1.30973,2
80,103.86738,103.87131,1.30973,1.31108,2
81,103.87131,103.87326,1.31108,1.31251,2
82,103.87326,103.87655,1.31251,1.3138,2
83,103.87655,103.88095,1.3138,1.3149,2
84,103.88095,103.88335,1.3149,1.31532,2
85,103.88335,103.88605,1.31532,1.3158,2
86,103.88605,103.89033,1.3158,1.31662,2
87,103.89033,103.8948,1.31662,1.31737,2
88,103.8948,103.89747,1.31737,1.31784,2
89,103.89747,103.90227,1.31784,1.31876,2
90,103.90227,103.90725,1.31876,1.31971,2
91,103.90725,103.91,1.31971,1.32027,2
92,103.91,103.91333,1.32027,1.32097,2
93,103.91333,103.91737,1.32097,1.32139,2
94,103.91737,103.92233,1.32139,1.32258,2
95,103.92233,103.92509,1.32258,1.32334,2
96,103.92509,103.93002,1.32334,1.32421,2
97,103.93002,103.93469,1.32421,1.32469,2
98,103.93469,103.9389,1.32469,1.3252,2
99,103.9389,103.94223,1.3252,1.32585,2
100,103.94223,103.94636,1.32585,1.32755,2
101,103.94636,103.9488,1.32755,1.32957,2
102,103.9488,103.94735,1.32957,1.3315,2
103,103.94735,103.9472,1.3315,1.33292,2
104,103.9472,103.94982,1.33292,1.33408,2
105,103.94982,103.95328,1.33408,1.33553,2
